net,length_um
net1102,325.91
net845,325.76
net1096,325.55
_16752_,325.25
_22993_,325.04
_13058_,324.995
net1791,324.71
net1101,324.64
_11808_,324.38
net1080,324.28
net1658,324.13
net1650,324.01
net1201,323.68
net913,323.35
net637,322.84
net1454,322.4
net588,322.28
_17229_,321.465
_07170_,321.06
net1654,320.09
net1064,320.01
net1058,319.94
net1039,319.87
net1200,319.43
_12455_,319.34
net1812,319.31
net1088,319.12
_18907_,318.99
net356,318.8
net719,318.72
net881,318.59
net544,318.52
net1271,318.31
net1279,317.84
net1792,317.35
net1081,317.29
_12063_,317.265
_09992_,317.25
_12576_,316.88
net1374,316.85
_07861_,316.66
_18259_,316.335
net1185,316.32
_06863_,316.09
net1807,316.06
net1173,315.98
net727,315.51
_10809_,315.09
net1249,314.65
_12535_,314.55
_10036_,314.05
net755,314
_20328_,313.76
net1010,313.75
_16296_,313.64
_19031_,313.56
net653,313.32
net642,313.2
clknet_6_4_0_clk,313.08
net1707,312.92
net1181,312.72
net1741,312.32
_11242_,312.24
net1109,311.67
net1892,311.58
net1924,311.42
_27082_,311.4
net473,311.15
net453,311.135
clknet_6_18_0_clk,310.13
_19188_,309.69
_07946_,309.65
_25878_,309.605
net1348,309.59
net1194,309.58
net601,309.53
net1819,309.32
net1085,309.16
_09948_,309.08
net1760,309.08
net1361,309.01
net314,308.94
net1257,308.92
net1239,308.81
net1722,308.44
net1727,307.8
net1004,307.79
net769,306.84
_25807_,306.82
net641,306.76
net1852,306.71
net906,306.58
net1525,306.54
net1221,306.08
_26503_,305.865
net837,305.38
net1537,305.04
net1751,305
_10856_,304.83
_11549_,304.45
net1376,304.3
net1236,304.11
net1417,304.09
net1811,303.86
net1717,303.77
net1293,303.62
net1930,303.585
net1330,303.545
net1460,303.16
net1691,302.52
net1226,301.99
_12281_,301.94
net668,301.73
net778,301.31
net1225,301.16
net1291,301.05
_20260_,300.93
net803,299.925
_12941_,299.92
net1547,299.5
net1357,299.16
net472,299.11
_18864_,299.1
net1206,298.84
clknet_6_42_0_clk,298.68
_10433_,298.58
net1118,298.21
net1832,297.94
net1913,297.755
_14379_,297.67
net1069,297.53
net1659,297.47
clknet_6_62_0_clk,297.13
net799,297.065
net1781,297.01
net710,296.98
net1231,296.92
_11317_,296.74
net1724,296.71
genblk6\[0\].PWM_b.pg1.clk,296.59
net1690,296.55
clknet_6_28_0_clk,296.5
net1362,296.49
net557,296.47
net1796,296.42
clknet_6_24_0_clk,295.65
net863,295.64
_07147_,295.405
net664,295.39
net1645,295.36
net1363,295.2
_11058_,295.1
net1214,294.98
net763,294.87
net773,294.8
clknet_6_25_0_clk,294.69
_26458_,294.63
net1220,294.58
net1732,294.22
net770,294.02
_09013_,293.95
net1857,293.93
net1047,293.87
net957,293.61
_11351_,293.18
net782,292.9
net1477,292.735
net378,292.39
_07116_,292.23
net479,292.08
net1134,292.08
net1870,291.98
clknet_6_39_0_clk,291.94
_21195_,291.92
net1911,291.475
net1837,291.29
_14585_,291.09
net1061,291.09
net1149,290.99
_17195_,290.98
_25841_,290.755
net661,290.74
net1520,290.54
net1704,290.52
net1439,290.47
_06335_,290.28
net1458,290.24
_19138_,290.22
net730,290.17
net762,290.02
net545,289.98
net1698,289.88
net1115,289.55
_10265_,289.26
net806,289.25
net376,289.2
_23752_,288.37
net626,287.62
_12282_,287.465
net1272,287.45
_26451_,287.43
net1899,287.245
_20807_,287.22
_21791_,286.935
net1546,286.87
_23485_,286.79
net1903,286.66
net548,286.63
net1918,286.56
net1255,286.09
net1066,286
clknet_6_58_0_clk,285.94
net861,285.88
net925,285.85
net528,285.51
net1342,285.47
net929,285
_20676_,284.84
_10819_,284.715
net847,284.62
net886,284.05
net1694,283.74
net843,283.7
net524,283.67
net1725,283.58
_18522_,283.55
_12413_,283.34
net1407,283.29
net1907,283.265
net771,283.14
net1212,283.06
_11277_,283.05
net1164,282.83
_08482_,282.77
clknet_6_19_0_clk,282.52
net1916,282.345
net649,281.61
net1349,281.48
_23324_,281.38
net1347,281.35
net1282,281.28
net939,280.82
net1023,280.82
net858,280.55
_16872_,280.49
net883,280.48
_10783_,280.47
net1495,280.36
_17218_,280.35
net1847,280.05
_10875_,279.845
net1288,279.47
net712,279.31
net1111,279.14
net1478,279.12
_12046_,278.94
_21098_,278.86
clknet_6_13_0_clk,278.84
net1689,278.78
net1848,278.78
net1782,278.67
net612,278.63
_08946_,278.37
net474,278.3
net1073,278.07
clknet_6_22_0_clk,278.03
net1127,277.9
net657,277.82
net827,277.7
_23143_,277.63
_10884_,277.62
net1172,277.59
net1845,277.57
_16841_,277.555
net494,277.45
_16813_,277.44
_10388_,277.41
net905,276.57
net1394,276.37
net1769,276.37
net1169,276.29
net761,276.18
net1442,276.1
net1493,276.06
clknet_6_8_0_clk,275.82
net1438,275.71
_18179_,275.6
clknet_6_56_0_clk,275.51
net465,275.35
_21029_,275.04
net1302,274.86
_16835_,274.73
_19261_,274.57
net1309,274.53
net553,274.35
net1855,274.35
net943,274.28
_21352_,274.275
net851,274.1
_10353_,274.09
clknet_6_17_0_clk,274.02
net1828,273.86
_22429_,273.855
net1696,273.76
_13826_,273.74
net1153,273.74
net1430,273.72
_10348_,273.58
net953,273.52
_10690_,273.39
net1803,273.38
net476,273.04
net1290,272.98
net659,272.9
net1333,272.88
net1095,272.85
net1928,272.54
net1905,272.205
net824,271.88
clknet_6_55_0_clk,271.48
net1785,271.46
net1768,271.39
_18523_,271.38
_16875_,271.34
net1749,271.01
net1308,270.86
net1499,270.68
net1386,270.62
_11074_,270.5
net1021,270.22
net797,270.16
net620,270.09
net1842,270.06
net1274,269.87
net1436,269.83
net1829,269.65
net801,269.59
_11946_,269.51
net1063,269.18
net1378,268.92
net618,268.72
_14198_,268.665
_10471_,268.65
net1100,268.57
net946,268.53
net698,268.36
net1823,268.12
net1705,268.02
net1286,267.88
net1382,267.53
clknet_6_23_0_clk,267.52
_10634_,267.19
net918,266.96
_07868_,266.94
net919,266.8
genblk4\[1\].I2C_b.o_scl,266.77
_12898_,266.745
clknet_6_6_0_clk,266.69
net1365,266.66
net369,266.58
_20336_,266.54
net973,266.46
net1876,266.355
clknet_6_51_0_clk,266.02
net1264,266.01
net609,265.75
net1070,265.73
net519,265.72
net1380,265.63
net1758,265.51
net781,265.22
net795,265.22
net638,265.09
net1413,265.09
net1397,265.07
net1932,264.985
net417,264.935
net1270,264.79
net830,264.51
net1770,264.37
_13756_,264.34
_12402_,264.32
net832,264.3
_15998_,264.26
_16956_,264.22
net1034,264.06
clknet_6_27_0_clk,264.055
net361,263.865
_17136_,263.72
net1541,263.58
net1161,263.25
net522,263.02
_12294_,262.92
net1346,262.89
net1020,262.7
net1414,262.67
clknet_6_5_0_clk,262.4
net1399,262.26
net916,262.01
net1175,261.94
net1497,261.88
net1703,261.88
_10956_,261.86
net1218,261.75
net844,261.55
_14772_,261.54
net605,261.34
net1086,261.13
net1411,261.12
net1233,261.11
net834,261.02
net367,261
net599,260.82
net1156,260.8
net671,260.75
net1292,260.67
net1012,260.54
_12097_,260.53
net815,260.4
_12136_,260.32
net908,260.26
_18910_,260.235
_12208_,260.07
net1301,260.02
net872,259.86
net1191,259.73
clknet_6_16_0_clk,259.72
net1766,259.71
net1258,259.66
net1826,259.56
net1298,259.55
net1142,259.46
net829,259.4
net1035,259.18
_19625_,259.01
net1114,258.83
_18821_,258.81
net1869,258.775
net1482,258.63
clknet_6_0_0_clk,258.53
net922,258.04
net1265,257.59
net536,257.57
_13080_,257.56
net785,257.47
net497,257.34
net480,257.23
_18824_,257.21
net1453,257.12
_16833_,257.06
net685,257.02
clknet_6_21_0_clk,256.9
net1089,256.87
net1243,256.68
net580,256.67
net586,256.58
net529,256.5
_27070_,256.435
net910,256.36
net1459,256.24
_10637_,256.2
net1094,256.18
net477,256.13
net989,255.84
_08762_,255.83
net1165,255.72
_22413_,255.71
net743,255.7
net634,255.65
net1834,255.63
net1488,255.61
net701,255.575
_26417_,255.53
net660,255.45
net1046,255.24
net1369,255.18
net1235,255.14
clknet_6_20_0_clk,255.04
net764,254.95
net1316,254.84
net520,254.56
net1735,254.49
net1709,254.38
net1287,254.22
net667,254.18
_18971_,253.675
_11020_,253.5
net1444,253.35
net1042,253.33
net1182,253.32
net1736,253.24
net809,253.11
net1198,252.9
net1470,252.82
net1276,252.75
net1817,252.64
net791,252.59
net604,252.57
net702,252.5
net838,252.39
net840,252.38
_20985_,252.3
_14398_,252.19
net1304,251.98
net1909,251.88
net1354,251.84
net1784,251.69
_10596_,251.545
net1133,251.47
net1143,251.43
_18528_,251.42
net1319,251.36
net1551,251.34
net1451,251.26
_23049_,251.24
net1822,251.24
net1432,251.16
net1396,251.15
net1508,251.02
_14551_,250.94
_10452_,250.91
net891,250.82
net944,250.79
_06276_,250.755
clknet_6_14_0_clk,250.68
_11678_,250.33
net675,250.24
net1715,250.24
net1121,250.12
net1371,250.11
net1710,249.79
_10027_,249.72
net1328,249.68
_22744_,249.64
net1285,249.48
net1040,249.47
net1251,249.32
net1060,249.28
_10515_,249.24
_18863_,249.14
net1481,249.12
net319,249.03
net1234,248.86
net1377,248.84
net920,248.83
net835,248.81
net452,248.755
net1762,248.69
net512,248.68
net1228,248.66
net1232,248.56
net1882,248.54
net306,248.51
net800,248.49
net1299,248.32
_10553_,248.26
net587,248.26
net1144,248.26
net1449,248.23
net1693,248.22
net1716,248.2
net568,248.14
net1017,248.01
net366,247.955
_12373_,247.905
net1373,247.6
net600,247.54
clknet_6_10_0_clk,247.54
net1146,247.46
net969,247.37
_12453_,247.36
net1511,247.19
net1322,247.08
net1409,246.88
net584,246.87
net1317,246.84
net1335,246.81
net1815,246.8
net1738,246.72
net478,246.7
net1223,246.47
net516,246.39
net682,246.12
clknet_6_43_0_clk,246.12
net1068,245.77
net1809,245.695
net961,245.68
net1651,245.67
net1033,245.27
net1160,245.27
net1186,245.25
net419,244.93
net1836,244.88
net1779,244.83
clknet_6_40_0_clk,244.76
_16221_,244.63
net1755,244.61
_20675_,244.52
net1431,244.52
net923,244.42
net1542,244.4
net774,244.28
_12565_,243.805
net985,243.72
net1192,243.64
net997,243.62
_10074_,243.6
net514,243.55
_10308_,243.52
net1427,243.22
net1336,243.1
net1464,243
net1207,242.98
clknet_6_7_0_clk,242.77
net349,242.465
net853,242.46
net1099,242.35
_12167_,242.34
net744,242.32
net937,242.26
net565,242.235
net980,242.03
net577,241.9
net1534,241.78
net1392,241.64
net1179,241.46
_12121_,241.365
net1324,241.34
net513,241.23
net606,241.05
net1323,241.03
net1462,240.94
net1163,240.82
_12251_,240.8
_12174_,240.72
_10547_,240.41
net1771,240.4
_15896_,240.33
net1824,240.3
_15487_,240.28
net302,240.23
net1880,240.2
net517,240.185
clknet_6_3_0_clk,239.9
net469,239.89
net1726,239.88
net915,239.84
_21107_,239.76
net1753,239.73
_12473_,239.72
net538,239.71
net1031,239.69
net589,239.65
net1131,239.58
net1025,239.48
net772,239.43
net885,239.36
net350,239.31
net819,239.26
net1266,239.2
net683,239.16
_15084_,239.04
net583,238.98
net783,238.88
net1252,238.76
net676,238.72
net1383,238.72
net1421,238.64
net1011,237.93
_12024_,237.595
net932,237.59
net1763,237.54
net842,237.38
net1699,237.37
net1147,237.36
net1024,237.35
net1814,237.26
net757,237.22
net1740,237.08
_12681_,236.94
net485,236.845
net1320,236.78
net1555,236.695
net1184,236.63
net1048,236.45
_11883_,236.325
net760,236.3
net1150,236
net850,235.7
net1788,235.59
_23089_,235.54
net931,235.48
net518,235.44
net559,235.32
net1341,235.185
net1062,235.02
net1269,235
net458,234.985
_22971_,234.98
net1337,234.98
net1137,234.88
net1401,234.84
net707,234.82
net1473,234.8
net1721,234.71
net1126,234.66
net650,234.44
net1104,234.32
net308,234.09
net1395,234
net1840,233.95
net1720,233.91
net499,233.84
net846,233.76
net1022,233.73
net1117,233.58
_09946_,233.54
_07095_,233.37
net1263,233.17
_22419_,233.11
net1598,233
net1790,232.98
net1390,232.88
net975,232.84
net1714,232.8
net561,232.7
net1027,232.7
net1416,232.69
_10137_,232.48
net955,232.3
net1504,232.25
net988,232.1
net656,232.06
net1368,232.02
_24733_,231.84
net706,231.73
net1733,231.72
net1075,231.67
net643,231.58
net1424,231.54
_07943_,231.52
net862,231.51
net542,231.42
net663,231.39
net868,231.35
net672,231.24
net1927,231.22
net1162,231.215
net1468,231.18
net1122,231.14
net1921,231.08
clknet_6_48_0_clk,231.05
net597,230.96
_18941_,230.92
net563,230.89
net1132,230.82
net673,230.81
net591,230.8
net1056,230.78
net1148,230.7
net426,230.67
net792,230.52
_09956_,230.44
net1742,230.38
net652,230.34
net293,230.18
net1125,230.17
net621,230.12
net422,230.045
net608,229.99
net280,229.91
net756,229.76
clknet_6_54_0_clk,229.76
net498,229.72
net729,229.64
net291,229.56
net831,229.36
net780,229.35
net968,229.28
net579,229.14
net1005,229.1
net278,229.06
net1745,228.98
net1174,228.96
net1209,228.96
net490,228.95
net1072,228.92
_23328_,228.9
net836,228.87
net1385,228.8
net1222,228.63
net1303,228.62
net1128,228.6
_24734_,228.58
_15406_,228.45
_18846_,228.01
net711,227.96
net613,227.92
net753,227.92
net992,227.8
net752,227.715
net776,227.7
_15261_,227.67
net540,227.53
net468,227.44
net823,227.42
net1108,227.41
clknet_6_12_0_clk,227.4
net475,227.24
_11203_,227.155
_22746_,227.05
net902,226.92
_27030_,226.89
net991,226.82
net610,226.79
net1026,226.66
net1318,226.6
_10134_,226.58
net1429,226.56
net870,226.47
net272,226.46
net677,226.43
net734,226.37
net999,226.27
net1294,226.24
net312,226.17
net1644,226.15
net726,226.13
net1761,226.09
net560,226.06
_08787_,226
net754,226
net1295,225.99
net1050,225.98
net1310,225.98
net704,225.94
net1045,225.86
net1140,225.63
net1695,225.48
net1786,225.43
net1350,225.42
_08937_,225.4
_20717_,225.4
net1418,225.38
_11002_,225.29
net619,225.25
net808,225.175
net1657,225
net633,224.95
net530,224.88
_16840_,224.83
net1306,224.8
net355,224.79
net1666,224.77
net1887,224.76
net373,224.72
net318,224.71
net1227,224.67
net1351,224.64
_06217_,224.55
net1205,224.48
net489,224.45
net493,224.395
net759,224.25
net1138,224.2
net1692,224.1
_22743_,223.99
net897,223.83
net1311,223.72
net1500,223.72
net697,223.63
net1393,223.48
net1375,223.42
net1087,223.33
net1106,223.28
net628,223.22
_19133_,223.21
net1260,223.2
net309,223.185
net1838,223.1
net315,223.09
net689,223.05
_16569_,223.02
net639,222.96
net723,222.93
net1057,222.72
net598,222.665
net1254,222.63
net1297,222.61
net1370,222.52
net1262,222.47
_06299_,222.37
net1326,222.33
net363,222.27
net1548,222.225
net767,222.18
net674,222.1
net1843,222.08
net290,222.06
net1215,222.05
net371,222.01
net1798,221.91
net425,221.855
_18640_,221.815
net284,221.72
net1448,221.68
net942,221.67
net615,221.58
net311,221.56
net1697,221.5
net679,221.44
net1557,221.41
net535,221.39
net1141,221.36
net864,221.18
net1093,221.11
net567,220.94
net816,220.9
net370,220.84
net1379,220.84
net627,220.775
net901,220.77
net866,220.765
net1889,220.58
net1151,220.54
_25290_,220.48
net1713,220.46
net1013,220.43
net1332,220.36
net909,220.32
net751,220.28
net632,220.26
net292,220.14
net1009,220.14
net695,220.08
net281,220.04
_10071_,219.94
net307,219.92
_12312_,219.87
net777,219.85
net748,219.8
net570,219.79
net1387,219.7
_06322_,219.64
net463,219.64
net1059,219.61
net993,219.54
net981,219.5
net804,219.46
_11989_,219.45
net1123,219.43
net1313,219.3
net372,219.255
net1821,219.22
net471,219.16
net1561,219.12
net275,219.03
net509,218.995
net1773,218.87
net938,218.82
net1238,218.79
net1273,218.69
net1155,218.65
net1600,218.62
net708,218.58
_10034_,218.48
net717,218.48
net1339,218.46
net526,218.36
net1652,218.29
net779,218.22
net602,218.11
net585,218.08
_06250_,218.035
net1312,218.02
_10188_,217.96
net1767,217.87
clknet_6_26_0_clk,217.685
_12022_,217.675
net505,217.64
net1120,217.57
net903,217.48
net377,217.44
net271,217.43
net515,217.33
net1170,217.31
_23007_,217.22
net1723,217.21
net380,217.205
_12336_,217.16
net1136,217.14
net1246,217.13
net1539,217.12
net1895,217.115
net1406,217.06
net1410,217.03
_12798_,216.87
_23330_,216.66
net551,216.63
net740,216.6
net573,216.5
net1776,216.48
net424,216.44
net1778,216.435
net554,216.38
net603,216.37
_08231_,216.08
net976,216.08
net1405,216.06
_16792_,216.05
net882,216.04
_11903_,215.98
net1154,215.74
_09937_,215.56
net1359,215.5
net1846,215.4
net1189,215.38
net510,215.335
net508,215.3
net786,215.22
net464,215.19
net948,215.13
_11306_,215.12
_10558_,215.08
net1777,215.08
net893,214.94
net1213,214.94
net358,214.92
net531,214.92
net1329,214.895
net927,214.8
net1649,214.8
net282,214.64
net1422,214.6
net959,214.54
_27078_,214.435
net279,214.38
net1338,214.38
net1467,214.34
net790,214.33
net852,214.24
net1802,214.23
net534,214.2
net1015,214.14
net684,214.13
_08228_,214
net1455,213.86
net907,213.82
net1765,213.81
net1744,213.72
net412,213.64
net375,213.53
net616,213.45
net1006,213.43
net1049,213.425
net392,213.42
net818,213.38
net950,213.38
_18921_,213.35
net1345,213.32
net1475,213.32
net655,213.24
net860,213.12
net876,213.08
net1601,213.01
net1825,213
net1489,212.96
_11218_,212.8
net1230,212.72
net374,212.69
net1178,212.6
net421,212.55
_06902_,212.54
net614,212.5
genblk2\[0\].SPI_b.SPI_Master_Inst.o_SPI_MOSI,212.42
clknet_6_34_0_clk,212.4
net1423,212.35
net798,212.34
net640,212.32
clknet_6_52_0_clk,212.28
net1241,212.13
net1425,212.12
genblk11\[2\].SCG_b.wr_jerk,212.105
_12534_,212.06
net1315,211.98
net575,211.96
net324,211.7
_10935_,211.61
_10325_,211.595
_09919_,211.58
net1344,211.56
net1190,211.52
net1757,211.43
net1684,211.395
_11164_,211.37
net1433,211.32
net1926,211.265
net635,211.25
_18947_,211.24
net914,211.22
net1483,211.18
net699,211.09
net912,211.035
_06247_,211.01
net1484,210.98
net807,210.88
_09987_,210.82
net1772,210.56
_10478_,210.5
_10006_,210.44
net414,210.26
_20678_,210.24
net502,210.18
net900,209.97
net1112,209.92
net1300,209.87
net1440,209.87
_10078_,209.85
net964,209.82
_21110_,209.74
net504,209.73
_09902_,209.7
net348,209.7
net1408,209.51
net1550,209.44
_09913_,209.23
_26063_,209.06
net1794,208.96
net967,208.92
net1002,208.76
net496,208.745
net317,208.73
net1729,208.72
net678,208.68
net1734,208.65
net327,208.47
net1402,208.46
net1090,208.35
net696,208.34
net1893,208.275
_12331_,208.2
net1008,208.15
net1107,208.14
net1647,208.14
_09984_,208.1
_23405_,208.06
net693,208.055
net303,208.05
net1071,208.01
net1706,207.97
net1216,207.94
net724,207.66
net1708,207.61
_24739_,207.6
net630,207.58
_10936_,207.46
net1314,207.46
net1381,207.42
net1187,207.32
net576,207.31
_06294_,207.24
net1019,207.24
net1097,207.16
net648,207.12
net974,207.12
net865,207.01
net645,206.98
net289,206.95
net596,206.95
_11056_,206.88
_23112_,206.88
net523,206.86
net328,206.74
_16791_,206.58
net335,206.52
net1124,206.48
net1437,206.48
net940,206.38
net1030,206.37
net1914,206.365
net1245,206.29
_10915_,206.2
net582,206.2
net1000,206.19
net1867,206.18
genblk11\[0\].SCG_b.start,206.135
net1512,206.12
net301,206.06
net658,205.97
_10374_,205.92
net990,205.79
_21354_,205.715
_27068_,205.68
net892,205.64
_07143_,205.61
net732,205.49
net1435,205.46
net728,205.44
net1612,205.38
net1043,205.32
net1595,205.3
_20682_,205.27
_27126_,205.24
net1827,205.18
net1480,205.16
net793,205.07
net1331,205.07
net525,205
net1904,204.88
net457,204.82
net1412,204.78
_06236_,204.63
_12491_,204.61
_07857_,204.58
net662,204.48
net1897,204.475
_10781_,204.35
net1358,204.33
_10835_,204.275
net1248,204.26
net651,204.2
net1001,204.16
net1188,204.16
genblk11\[0\].SCG_b.steps_left\[31\],204.12
net1428,204.12
net1119,204
net1516,203.92
net1296,203.9
net1199,203.86
net1919,203.815
net1334,203.8
net1016,203.79
net1044,203.76
net1247,203.72
_21073_,203.69
net962,203.66
genblk4\[0\].I2C_b.o_scl,203.58
_07051_,203.53
net1728,203.52
net137,203.24
net364,203.06
net555,202.97
net283,202.945
net1800,202.79
_21070_,202.78
net429,202.66
net488,202.61
net1900,202.61
net644,202.44
_10976_,202.43
_12574_,202.35
_07055_,202.33
net1562,202.28
_09679_,202.27
net1894,202.24
net1275,202.23
_10513_,202.22
net532,202.22
net750,202.2
net1261,202.1
net1509,202.07
_16794_,201.98
net1902,201.86
net1922,201.805
net1853,201.8
net1278,201.63
net277,201.42
net951,201.42
net345,201.4
net433,201.38
net1775,201.37
net1280,201.34
net1623,201.22
net1673,201.22
net841,201.14
_09930_,200.91
net1933,200.775
net1878,200.74
net484,200.715
net541,200.71
genblk6\[2\].PWM_b.pg1.clk,200.67
net511,200.585
_12261_,200.56
genblk9\[1\].UART_b.rxEn_r,200.52
net1217,200.46
_12410_,200.41
genblk11\[1\].SCG_b.cur_speed\[43\],200.255
net1780,200.24
clknet_6_61_0_clk,200.21
_19450_,200.17
net1084,200.14
_09907_,200.08
net1633,200.08
net1054,200.06
_13192_,199.975
net933,199.93
net396,199.92
_12590_,199.84
net1305,199.67
net690,199.66
net857,199.64
net856,199.63
net1533,199.63
net382,199.62
net501,199.6
net437,199.56
net746,199.55
net379,199.54
net492,199.375
net788,199.36
net1850,199.3
net958,199.28
net1830,199.22
net949,199.21
clknet_6_50_0_clk,199.21
net296,199.2
net775,199.1
net1523,198.96
net427,198.9
_10402_,198.855
net442,198.84
net1567,198.84
net1620,198.74
net1159,198.71
net936,198.67
net549,198.64
net430,198.6
net1906,198.54
_16940_,198.52
_18182_,198.52
net1038,198.52
net1036,198.47
net340,198.44
net273,198.4
net448,198.4
net1463,198.4
net454,198.395
net297,198.38
net977,198.34
net393,198.1
_10599_,197.98
net503,197.97
net416,197.96
net1469,197.93
net1718,197.84
net436,197.78
_20800_,197.76
net1522,197.75
net1879,197.75
net402,197.72
_23086_,197.685
net895,197.68
net1881,197.68
net467,197.58
_10474_,197.575
net849,197.56
net1875,197.515
_12002_,197.48
net1195,197.46
net879,197.42
net337,197.4
net1898,197.38
net322,197.32
net440,197.32
net1640,197.32
_09820_,197.2
net287,197.2
net766,197.12
net1675,197.12
net1528,197.1
net1890,197.06
net934,196.98
net326,196.96
net97,196.94
_12939_,196.92
net1196,196.92
net1391,196.92
net1076,196.85
_16861_,196.845
_22750_,196.83
_11095_,196.81
net1572,196.73
net765,196.72
net1608,196.68
net1702,196.68
net1863,196.68
net1896,196.64
_19715_,196.62
net1479,196.62
net342,196.61
net784,196.59
_10687_,196.34
net1585,196.32
net1456,196.31
net1862,196.3
net387,196.28
net408,196.28
net692,196.28
net963,196.28
_16910_,196.23
net1492,196.18
net1576,196.18
net383,196.16
net998,196.14
net1901,196.09
net965,196.08
net461,196.04
_13432_,195.98
_06297_,195.95
_09734_,195.94
net1210,195.9
net564,195.89
net1307,195.89
_15590_,195.88
net537,195.78
net594,195.78
